kernel,C,A,gamma,mean_cindex,std,dataset
rbf,4.0,,4.0,0.441066340575676,0.06117129619332683,lung
rbf,4.0,,8.0,0.45500658731635396,0.041524857927298986,lung
exponential,0.25,,0.125,0.6932904461599114,0.04921820275005992,lung
exponential,0.25,,0.25,0.7064624352045297,0.047457440395017245,lung
exponential,0.25,,0.5,0.654265221359313,0.05139504873431653,lung
exponential,0.25,,1.0,0.6319451649939805,0.038388668891867324,lung
exponential,0.25,,2.0,0.5578364779366367,0.032182727543120494,lung
exponential,0.25,,4.0,0.5071692060115673,0.03691468807709303,lung
exponential,0.25,,8.0,0.480917027515441,0.0611563762148051,lung
exponential,0.5,,0.125,0.6720274781741716,0.05036451730528908,lung
exponential,0.5,,0.25,0.6531660222107133,0.044853281465198395,lung
exponential,0.5,,0.5,0.6368450065742874,0.06965314814972952,lung
exponential,0.5,,1.0,0.622963614920989,0.031648081335285315,lung
exponential,0.5,,2.0,0.567407484150498,0.04290885698283339,lung
exponential,0.5,,4.0,0.5165090085476942,0.02670387950739685,lung
exponential,0.5,,8.0,0.4703122904040695,0.036525009800972126,lung
exponential,1.0,,0.125,0.687448369667796,0.05205564981222058,lung
exponential,1.0,,0.25,0.6884606759003667,0.035401122770031705,lung
exponential,1.0,,0.5,0.6604922267039587,0.048476944371123924,lung
exponential,1.0,,1.0,0.6307864609485391,0.0455691522855066,lung
exponential,1.0,,2.0,0.5874480554982948,0.030837832719812015,lung
exponential,1.0,,4.0,0.49863334408335785,0.03670877016458351,lung
exponential,1.0,,8.0,0.49511080676722913,0.03858215302885157,lung
exponential,2.0,,0.125,0.6868372760449188,0.037241743587972276,lung
exponential,2.0,,0.25,0.6871295009088274,0.04920652502145331,lung
exponential,2.0,,0.5,0.6797443960536989,0.027514327181323687,lung
exponential,2.0,,1.0,0.6279246010774789,0.047856465737954344,lung
exponential,2.0,,2.0,0.571110543160519,0.045857183116173275,lung
exponential,2.0,,4.0,0.5182094091590956,0.04988071672282309,lung
exponential,2.0,,8.0,0.4400037834354397,0.04786417036213761,lung
exponential,4.0,,0.125,0.6960052110917541,0.044003918657380466,lung
exponential,4.0,,0.25,0.7213922271733527,0.04910870964937077,lung
exponential,4.0,,0.5,0.6471959560966462,0.03411754374569126,lung
exponential,4.0,,1.0,0.6354252025481212,0.04893176422225731,lung
exponential,4.0,,2.0,0.5953285668855386,0.04599566188998891,lung
exponential,4.0,,4.0,0.4886185602931197,0.024917558158545326,lung
exponential,4.0,,8.0,0.48373095269715327,0.05631572562245126,lung
poly,0.25,,0.125,0.6753257554200911,0.07213915972135657,lung
poly,0.25,,0.25,0.6384145485238337,0.04287596881095035,lung
poly,0.25,,0.5,0.6353003745256621,0.0455478060135991,lung
poly,0.25,,1.0,0.6181439527014333,0.04260295482836377,lung
poly,0.25,,2.0,0.6071844208635586,0.0399624294382894,lung
poly,0.25,,4.0,0.5714935876985096,0.05963352502505079,lung
poly,0.25,,8.0,0.5314666333084234,0.039114740314788274,lung
poly,0.5,,0.125,0.6509575209864364,0.04164740146601625,lung
poly,0.5,,0.25,0.6489874516681209,0.032358976025484786,lung
poly,0.5,,0.5,0.6166698371637402,0.04013938920658657,lung
poly,0.5,,1.0,0.5767800983310261,0.045982672256968005,lung
poly,0.5,,2.0,0.5861659473911263,0.044405993042796854,lung
poly,0.5,,4.0,0.57269672516884,0.07624708408959562,lung
poly,0.5,,8.0,0.5875692326936607,0.03851995787888095,lung
poly,1.0,,0.125,0.6720383502835215,0.03659328392502415,lung
poly,1.0,,0.25,0.6680559702209086,0.026881857966444093,lung
