kernel,C,A,gamma,mean_cindex,std,dataset
rbf,1.0,,4.0,0.617633553496786,0.04354193342519088,veterans
rbf,1.0,,8.0,0.6348244421935157,0.038562038174147634,veterans
rbf,2.0,,0.125,0.6817842820501976,0.028590147142002562,veterans
rbf,2.0,,0.25,0.6772429454524639,0.04194786429100649,veterans
rbf,2.0,,0.5,0.6448373223643419,0.031026637903320185,veterans
rbf,2.0,,1.0,0.6591314595630804,0.03821411710720493,veterans
rbf,2.0,,2.0,0.618314214099727,0.03837085475444419,veterans
rbf,2.0,,4.0,0.6132104031446487,0.03839030357192389,veterans
rbf,2.0,,8.0,0.5989858505218533,0.03668183476005417,veterans
rbf,4.0,,0.125,0.693470133960423,0.03712812346512939,veterans
rbf,4.0,,0.25,0.676520562769406,0.03781046973240894,veterans
rbf,4.0,,0.5,0.6243367985663352,0.027922229659588422,veterans
rbf,4.0,,1.0,0.6152599515190228,0.03518224775345014,veterans
rbf,4.0,,2.0,0.5898636241805552,0.032513910492738426,veterans
rbf,4.0,,4.0,0.6154607482427232,0.03655934273167571,veterans
rbf,4.0,,8.0,0.6154148626686288,0.02532062471300626,veterans
exponential,0.25,,0.125,0.7162669056121332,0.03730206457714836,veterans
exponential,0.25,,0.25,0.7033611435627101,0.032289650267438956,veterans
exponential,0.25,,0.5,0.6789309839514042,0.027931108380337806,veterans
exponential,0.25,,1.0,0.6716114040360132,0.030649070820709994,veterans
exponential,0.25,,2.0,0.6351491695145681,0.036283706395451025,veterans
exponential,0.25,,4.0,0.6208788908969902,0.03379051016968009,veterans
exponential,0.25,,8.0,0.6033901301256568,0.04366422124194272,veterans
exponential,0.5,,0.125,0.6886632791842121,0.057830396487287127,veterans
exponential,0.5,,0.25,0.6967338693164614,0.05001607436708957,veterans
exponential,0.5,,0.5,0.656124018579354,0.0351658279827483,veterans
exponential,0.5,,1.0,0.6585787845330058,0.053470261230632955,veterans
exponential,0.5,,2.0,0.6401920608019088,0.04161130429071168,veterans
exponential,0.5,,4.0,0.6067889219753207,0.026740095472064858,veterans
exponential,0.5,,8.0,0.6178382014916612,0.018943962083006905,veterans
exponential,1.0,,0.125,0.6937468581316459,0.04665522096626187,veterans
exponential,1.0,,0.25,0.704279550149099,0.04130770163542783,veterans
exponential,1.0,,0.5,0.67950262268245,0.04937811028193041,veterans
exponential,1.0,,1.0,0.671286986772559,0.04792014664121635,veterans
exponential,1.0,,2.0,0.635460727263391,0.04709133278438164,veterans
exponential,1.0,,4.0,0.6185328909973148,0.04071910218434751,veterans
exponential,1.0,,8.0,0.6051178342064271,0.04362186412525399,veterans
exponential,2.0,,0.125,0.7136777980891078,0.04074681159114253,veterans
exponential,2.0,,0.25,0.6836927130217602,0.04637522326914608,veterans
exponential,2.0,,0.5,0.7142990472599512,0.04062846245909467,veterans
exponential,2.0,,1.0,0.6745341306718753,0.024124240100169725,veterans
exponential,2.0,,2.0,0.6310356290815323,0.037278037147199815,veterans
exponential,2.0,,4.0,0.6231960526283917,0.038861919420837,veterans
exponential,2.0,,8.0,0.6128125893688523,0.03865228275811691,veterans
exponential,4.0,,0.125,0.6991418373965649,0.03495385991143482,veterans
exponential,4.0,,0.25,0.6852762156654797,0.037305297983750374,veterans
exponential,4.0,,0.5,0.6891467169219859,0.03486947051835957,veterans
exponential,4.0,,1.0,0.6824768196591348,0.02785540508671522,veterans
exponential,4.0,,2.0,0.6386780338038351,0.039379762335936236,veterans
exponential,4.0,,4.0,0.6103898917476486,0.03653880294782579,veterans
exponential,4.0,,8.0,0.6388648589067984,0.042288324770097085,veterans
poly,0.25,,0.125,0.7006727714665095,0.021004801185615974,veterans
poly,0.25,,0.25,0.692561801969571,0.04068535123753434,veterans
poly,0.25,,0.5,0.6757512089820085,0.048886664314312295,veterans
poly,0.25,,1.0,0.6392695366659918,0.056677797243667186,veterans
poly,0.25,,2.0,0.6441067834490716,0.03766582863536347,veterans
poly,0.25,,4.0,0.5457354131947437,0.043686091004428926,veterans
poly,0.25,,8.0,0.5472707157001386,0.05119027004782521,veterans
poly,0.5,,0.125,0.6880614411422207,0.042831323435442936,veterans
poly,0.5,,0.25,0.6824657278822249,0.0376346088987706,veterans
poly,0.5,,0.5,0.6418502885512515,0.029332714987087234,veterans
poly,0.5,,1.0,0.6605469027408505,0.04005840146588185,veterans
poly,0.5,,2.0,0.6157592640239326,0.05318956378745192,veterans
poly,0.5,,4.0,0.5797553938057058,0.06183493167835262,veterans
poly,0.5,,8.0,0.5255492140780541,0.06672251277827924,veterans
poly,1.0,,0.125,0.6939744473507451,0.040073163721487684,veterans
poly,1.0,,0.25,0.6451064192668954,0.045473912085785446,veterans
